TIME_PERIOD;GINI;MEAN_EQ;MEDIAN_EQ
1995;27;;
1996;26;;
1997;25;;
1998;24;;
1999;26;;
2000;24;;
2001;24;;
2003;27.4;15776;13882
2004;25.8;16481;15107
2005;26.3;17555;15737
2006;25.3;17542;15900
2007;26.2;18184;16184
2008;27.7;19653;17461
2009;27.5;20609;18292
2010;28.3;21230;18818
2011;27.4;21543;19245
2012;27.6;22136;19655
2013;27;21870;19737
2014;27.6;23675;21231
2015;27.2;23513;21071
2016;27.2;23617;21557
2017;27.9;25427;22935
2018;26.8;25579;23526
2019;27.5;26250;23855
2020;27;27094;24763
2021;26.7;27087;25273
